Title,Author,PubYear,idx,Domain,CodedAge,Age,MeanAge,YoungOld,mean.e,mean.c,n.e,n.c,sd.e,sd.c
"Sex, but not Apolipoprotein E Polymorphism, Differences in Spatial Performance in Young Adults",Yasen et al (2015),2015,82,Spatial Navigation,0,Y,18.9,0,87,81.8,40,111,22.13594362,31.39624818
Slower speed-of-processing of cognitive tasks is associated with presence of the apolipoprotein ε4 allele,O'Hara et al. (2008),2008,83,Spatial Reasoning,1,O,74.6,1,1513.4,1497.8,18,33,319.9,645.4
Specific patterns of whole-brain structural covariance of the anterior and posterior hippocampus in young APOE ε4 carriers,Stening et al. (2017),2017,84,Composite,0,Y,23.9,0,0.46,0.77,11,37,0.65,0.61
Specific patterns of whole-brain structural covariance of the anterior and posterior hippocampus in young APOE ε4 carriers,Stening et al. (2017),2017,84,Composite,0,Y,24.5,0,-0.83,-0.36,18,31,0.44,0.54
Structural and functional neural correlates of visuospatial information processing in normal aging and amnestic mild cognitive impairment,Alichniewicz et al (2012),2012,85,Spatial Long Term Memory,1,M,61.5025,1,0.44,0.89,7,13,0.62,0.7
Structural and functional neural correlates of visuospatial information processing in normal aging and amnestic mild cognitive impairment,Alichniewicz et al (2012),2012,85,Construction,1,M,61.5025,1,0.39,0.84,7,13,0.45,0.29
Temporal lobe functional activity and connectivity in young adult APOE e4 carriers ,Dennis et al (2010),2010,86,Spatial Working Memory ,0,Y,21.3,0,7.2,7.3,12,12,1.5,1.3
Temporal lobe functional activity and connectivity in young adult APOE e4 carriers ,Dennis et al (2010),2010,86,Spatial Working Memory ,0,Y,21.3,0,87.9,84.6,12,12,10.5,10.3
The APOE ε4 allele increases the risk of impaired spatial working memory in obstructive sleep apnea,Cosentino et al. (2008),2008,87,Spatial Working Memory,1,O,62.9,1,3.1,3.4,10,10,1,1
The APOE ε4 allele is associated with decline on delayed recall performance in community-dwelling older adults,O'Hara et al. (1998),1998,88,Spatial Long Term Memory,1,O,74,1,6.09,6.55,22,61,1.41,1.62
The apolipoprotein E gene and its age-specific effects on cognitive function,Liu et al (2010),2010,89,Construction,1,M,NA,1,34.93,35.65,413,709,15.75,14.91
The apolipoprotein E gene and its age-specific effects on cognitive function,Liu et al (2010),2010,89,Construction,1,O,NA,1,19.39,18.7,388,633,9.63,9.31
The association of apolipoprotein E polymorphism with memory: a population based study,Helkala et al (1995),1995,90,Spatial Working Memory ,1,O,73.9,1,8.9,9.1,278,634,3.2,3.1
The association of apolipoprotein E polymorphism with memory: a population based study,Helkala et al (1995),1995,90,Spatial Long Term Memory,1,O,73.9,1,5.9,6.1,278,634,3.7,3.5
The association of apolipoprotein E polymorphism with memory: a population based study,Helkala et al (1995),1995,90,Construction,1,O,73.9,1,15.6,15.6,278,634,2.1,2
"The associations of the BDNF and APOE polymorphisms, hippocampal subfield volumes, and episodic memory performance across the lifespan",Malykhin et al. (2020),2020,91,Spatial Long Term Memory,0,Y,32.8,0,234,231.8,12,48,28.3,30.1
"The associations of the BDNF and APOE polymorphisms, hippocampal subfield volumes, and episodic memory performance across the lifespan",Malykhin et al. (2020),2020,91,Spatial Working Memory,0,Y,32.8,0,48.8,46.3,12,48,5.2,7.9
"The associations of the BDNF and APOE polymorphisms, hippocampal subfield volumes, and episodic memory performance across the lifespan",Malykhin et al. (2020),2020,91,Spatial Long Term Memory,1,O,66.5,1,163.8,175.1,11,36,16.5,21.6
"The associations of the BDNF and APOE polymorphisms, hippocampal subfield volumes, and episodic memory performance across the lifespan",Malykhin et al. (2020),2020,91,Spatial Working Memory,1,O,66.5,1,31.1,34.9,11,36,7.1,7
The Combined Effect of APOE and BDNF Val66Met Polymorphisms on Spatial Navigation in Older Adults,Laczo et al. (2020),2020,92,Composite,1,O,66.67549296,1,0.154482759,-0.058571429,29,42,0.694128817,0.920912591
The Combined Effect of APOE and BDNF Val66Met Polymorphisms on Spatial Navigation in Older Adults,Laczo et al. (2020),2020,92,Spatial Long Term Memory,1,O,66.67549296,1,-0.098275862,0.149285714,29,42,0.967292901,1.041328478
The Combined Effect of APOE and BDNF Val66Met Polymorphisms on Spatial Navigation in Older Adults,Laczo et al. (2020),2020,92,Spatial Navigation,1,O,66.67549296,1,42.88793103,27.09285714,29,42,32.20670117,16.1495438
The Combined Effect of APOE and BDNF Val66Met Polymorphisms on Spatial Navigation in Older Adults,Laczo et al. (2020),2020,92,Spatial Navigation,1,O,66.67549296,1,76.44931034,67.02928571,29,42,38.12522423,30.11811656
The Combined Effect of APOE and BDNF Val66Met Polymorphisms on Spatial Navigation in Older Adults,Laczo et al. (2020),2020,92,Spatial Navigation,1,O,66.67549296,1,86.40448276,74.41214286,29,42,55.3229837,43.21275327
The contribution of apolipoprotein E alleles on cognitive performance and dynamic neural activity over six decades,Alexander et al. (2007),2007,93,Spatial Navigation,1,M,NA,1,-9.96,-9,20,69,5.679612663,7.559027715
The contribution of apolipoprotein E alleles on cognitive performance and dynamic neural activity over six decades,Alexander et al. (2007),2007,93,Spatial Navigation,1,O,NA,1,-6.38,-7.22,13,34,7.247158064,9.621070626
The contribution of apolipoprotein E alleles on cognitive performance and dynamic neural activity over six decades,Alexander et al. (2007),2007,93,Spatial Navigation,0,Y,NA,0,-10.47,-8.69,26,78,4.793078343,5.652326954
The effect of apolipoprotein E ε4 (APOE ε4) on visuospatial working memory in healthy elderly and amnestic mild cognitive impairment patients: An event-related potentials study,Gu et al (2017),2017,94,Spatial Working Memory,1,O,70.2,1,0.78,0.83,18,25,0.09,0.1
The Effects of Prolonged Stress and APOE Genotype on Memory and Cortisol in Older Adults,Peavy et al (2007),2007,95,Spatial Long Term Memory,1,O,NA,1,7.29,10.02,29,55,4.3,3.95
The interaction of APOE genotype by age in amnestic mild cognitive impairment: a voxel-based morphometric study,Chen et al (2015),2015,96,Spatial Long Term Memory,1,O,NA,1,18.6,18.6,38,62,4.7,5.9
The relationship of APOE genotype to neuropsychological performance in long-term cancer survivors treated with standard dose chemotherapy,Ahles et al (2003),2003,97,Spatial Long Term Memory,1,M,55.9,1,25.1,27.2,17,63,11.2,9.3
The relationship of APOE genotype to neuropsychological performance in long-term cancer survivors treated with standard dose chemotherapy,Ahles et al (2003),2003,97,Construction,1,M,55.9,1,10.2,10.8,17,63,3.1,2.6
The relationship of APOE genotype to neuropsychological performance in long-term cancer survivors treated with standard dose chemotherapy,Ahles et al (2003),2003,97,Spatial Working Memory,1,M,55.9,1,31.6,34.2,17,63,6.8,4.4
The role of physical fitness in cognitive-related biomarkers in persons at genetic risk of familial alzheimer’s disease,Tsai et al (2019),2019,98,Spatial Working Memory,1,M,53.565,1,0.66,0.7719,16,16,0.17166,0.10647
The role of physical fitness in cognitive-related biomarkers in persons at genetic risk of familial alzheimer’s disease,Tsai et al (2019),2019,98,Spatial Working Memory,1,M,53.565,1,0.9325,0.9038,16,16,0.07113,0.12463
The TT allele of rs405509 synergizes with APOE ε4 in the impairment of cognition and its underlying default mode network in non-demented elderly,Ma et al. (2016),2016,99,Spatial Long Term Memory,1,O,64.2,1,10.57,12.03,41,59,7.28,6.27
Three-year changes in cognitive performance as a function of apolipoprotein E genotype: Evidence from very old adults without dementia,Small et al (1998),1998,100,Visuoperceptual Function,1,O,81.6,1,13.72,13.7,20,54,0.72,0.69
Three-year changes in cognitive performance as a function of apolipoprotein E genotype: Evidence from very old adults without dementia,Small et al (1998),1998,100,Construction,1,O,81.6,1,15.05,15.24,20,54,4.02,4.79
Toward personalized cognitive diagnostics of at-genetic-risk Alzheimer's disease,Coughlan et al (2019),2019,101,Spatial Navigation,1,O,62.4,1,4.612,4.723,31,29,1.542,1.162
Toward personalized cognitive diagnostics of at-genetic-risk Alzheimer's disease,Coughlan et al (2019),2019,101,Spatial Long Term Memory,1,O,62.4,1,18.5,20.8,31,29,5.39,6.59
Tract Based Spatial Statistic Reveals No Differences in White Matter Microstructural Organization between Carriers and Non-Carriers of the APOE ɛ4 and ɛ2 Alleles in Young Healthy Adolescents,Dell'Acqua et al (2015),2015,102,Construction,NA,C,14,NA,52.39,51.97,119,427,8.4,7.92
Tract Based Spatial Statistic Reveals No Differences in White Matter Microstructural Organization between Carriers and Non-Carriers of the APOE ɛ4 and ɛ2 Alleles in Young Healthy Adolescents,Dell'Acqua et al (2015),2015,102,Spatial Reasoning,NA,C,14,NA,27.34,27.13,119,427,3.76,3.71
Translational spatial task and its relationship to HIV-associated neurocognitive disorders and apolipoprotein E in HIV-seropositive women,Morales et al (2012),2012,103,Spatial Navigation,1,M,41.4,1,90.5,79,6,10,5,9
Unmasking selective path integration deficits in Alzheimer's disease risk carriers,Bierbrauer et al (2020),2020,104,Spatial Navigation,0,Y,24.32202454,0,3241.812,3126.0559,35,128,817.93568,779.2665
Unmasking selective path integration deficits in Alzheimer's disease risk carriers,Bierbrauer et al (2020),2020,104,Spatial Navigation,0,Y,24.32202454,0,2348.5036,2459.5339,35,128,681.90962,666.23676
Unmasking selective path integration deficits in Alzheimer's disease risk carriers,Bierbrauer et al (2020),2020,104,Spatial Navigation,0,Y,24.32202454,0,1980.5289,2081.8199,35,128,648.76517,642.19927
Unmasking selective path integration deficits in Alzheimer's disease risk carriers,Bierbrauer et al (2020),2020,104,Spatial Navigation,1,O,58.71153846,1,3852.3091,3692.7781,30,74,925.04743,793.78514
Unmasking selective path integration deficits in Alzheimer's disease risk carriers,Bierbrauer et al (2020),2020,104,Spatial Navigation,1,O,58.71153846,1,3189.2173,3255.6434,30,74,493.66322,616.42483
Unmasking selective path integration deficits in Alzheimer's disease risk carriers,Bierbrauer et al (2020),2020,104,Spatial Navigation,1,O,58.71153846,1,3035.9988,3267.0212,30,74,482.77199,794.0547
Unpublished,Peavy,,105,Construction,1,O,78.50704918,1,16,15.84,18,43,0.907,1.09
Unpublished,Peavy,,105,Construction,1,O,78.50704918,1,41.73,42.57,11,14,6.754,9.733
Unpublished,Peavy,,105,Spatial Long Term Memory,1,O,78.50704918,1,9.76,10.6,17,43,3.683,3.768
Unpublished,Peavy,,105,Spatial Working Memory,1,O,78.50704918,1,12.18,12.4,17,43,2.506,2.665
"Vitamin C supplementation, APOE4 genotype and cognitive functioning in a rural-dwelling cohort",Chaudhari et al (2016),2016,106,Composite ,1,MO,61.3,1,29.8,29,124,396,5.9,6.1
White matter is altered with parental family history of Alzheimer's disease,Bendlin et al. (2010),2010,107,Spatial Long Term Memory,1,M,57.4,1,11.2,10.8,21,40,1.3,1.4
Women at risk for AD show increased parietal activation during a fluency task,Smith et al (2002),2002,108,Construction,1,M,53,1,10.9,11.6,21,17,3.4,3
,Caselli Studies,,109,Construction,0,Y,34.0456,0,34.97115385,35.21875,52,48,1.738867847,1.375725147
,Caselli Studies,,109,Spatial Long Term Memory,0,Y,34.0456,0,19.25,22.23958333,52,48,6.727540704,7.092091477
,Caselli Studies,,109,Construction,0,Y,34.1480198,0,11.67924528,11.875,53,48,3.124183493,2.589873898
,Caselli Studies,,109,Spatial Long Term Memory,0,Y,34.1480198,0,7.716981132,8.4375,53,48,1.459417145,1.366876389
,Caselli Studies,,109,Spatial Reasoning,0,Y,34.1480198,0,25.01886792,26,53,48,3.65582026,2.895337411
,Caselli Studies,,109,Construction,1,M,55.89530909,1,11.78813559,11.7388535,236,314,2.422770332,2.509143654
,Caselli Studies,,109,Spatial Reasoning,1,M,55.91658849,1,25.02564103,24.75547445,195,274,3.703489435,3.66680825
,Caselli Studies,,109,Spatial Long Term Memory,1,M,55.98090741,1,7.090128755,7.156351792,233,307,1.894988054,1.835110648
,Caselli Studies,,109,Construction,1,M,55.9820841,1,34.45106383,34.50801282,235,312,2.400754185,2.243052846
,Caselli Studies,,109,Spatial Long Term Memory,1,M,56.00073394,1,18.19313305,18.71153846,233,312,6.224883676,6.473427868
,Caselli Studies,,109,Construction,1,O,70.11050228,1,12.05434783,12.5984252,92,127,2.433123667,2.895699719
,Caselli Studies,,109,Spatial Long Term Memory,1,O,70.11050228,1,5.826086957,6.181102362,92,127,1.837393613,2.194572391
,Caselli Studies,,109,Spatial Long Term Memory,1,O,70.1262037,1,16.02808989,17.15354331,89,127,6.073114911,69.64
,Caselli Studies,,109,Spatial Reasoning,1,O,70.13,1,24.41304348,24.22222222,92,126,3.86062733,4.139350459
,Caselli Studies,,109,Construction,1,O,70.13354839,1,34.02222222,33.87795276,90,127,2.945107456,2.676111648
