Title,Author,PubYear,idx,Domain,CodedAge,Age,MeanAge,YoungOld,mean.e,mean.c,n.e,n.c,sd.e,sd.c
Apolipoprotein E4 and Sex Affect Neurobehavioral Performance in Primary School Children,Acevedo et al (2010),2010,22,Spatial Navigation,NA,C,9,NA,33.5,49.5,12,38,46.7653718,46.23310502
Apolipoprotein E4 and Sex Affect Neurobehavioral Performance in Primary School Children,Acevedo et al (2010),2010,22,Construction,NA,C,9,NA,62.2,56.5,12,38,12.12435565,11.71238661
Apolipoprotein E4allele in the normal elderly: neuropsychologic and brain MRI correlates ,Schmidt et al (1996),1996,23,Composite,1,O,NA,1,35.9,38.7,39,175,7.5,10.7
Apolipoprotein ɛ4 breaks the association between declarative long-term memory and memory-based orienting of spatial attention in middle-aged individuals,Salvato et al (2016),2016,24,Spatial Long Term Memory,1,M,45.7,1,-265.96,-259.375,39,20,25.93,27.5
"Apolipoprotein ε4 Allele status, depressive symptoms, and cognitive decline in middle-aged and elderly persons without dementia",Lavretsky et al (2003),2003,25,Construction,1,O,66.6,1,34.7,34.4,20,29,2.1,2.1
"Apolipoprotein ε4 Allele status, depressive symptoms, and cognitive decline in middle-aged and elderly persons without dementia",Lavretsky et al (2003),2003,25,Spatial Long Term Memory,1,O,66.6,1,18.9,19.8,20,29,6.9,7.3
Association of parental dementia with cognitive and brain MRI measures in middle-aged adults,Debette et al (2009),2009,26,Spatial Long Term Memory,1,M,59,1,8.73,8.57,165,514,3.38,3.22
Asymmetries in global-local processing ability in elderly people with the apolipoprotein e-epsilon4 allele,Jacobson et al (2005)a,2005,27,Spatial Long Term Memory,1,O,NA,1,28.4,31.4,20,20,13,11.5
Asymmetries in global-local processing ability in elderly people with the apolipoprotein e-epsilon4 allele,Jacobson et al (2005)a,2005,27,Spatial Long Term Memory,1,O,NA,1,23.5,23.9,20,20,16.3,12.9
Asymmetry in auditory and spatial attention span in normal elderly genetically at risk for Alzheimer's disease,Jacobson et al (2005)b,2005,28,Spatial Working Memory,1,O,74,1,14,14,21,21,2.4,2.2
Both odor identification and ApoE-ε4 contribute to normative cognitive aging,Finkel et al (2011),2011,29,Spatial Reasoning,1,O,64.2,1,52.317757,49.0690909,107,275,17.9872062,19.0320214
